company_name,address,company_type,description
DALY ENGINEERING CONSULTANTS LLC,"401 FLAMINGO COURT Kissimmee, Florida 34759 United States",Professional Services,PROVIDE CIVIL ENGINEERING CONSULTING SERVICES TO THE PUBLIC AND PRIVATE SECTORS
DAN YANT INC,"90 LIVINGSTON STREET SUITE 2B BROOKLYN, New York 11201 United States",Buliding & Construction,"A construction management company, which designs, constructs, and installs heating, ventilating, and air conditioning and mechanical systems."
DANA BROUSSARD,"437 NE FARGO ST Portland, Oregon 97212 United States",Professional Services,SECURITY GUARDS AND PATROL SERVICES
"DANCIL-JONES & ASSOCIATES, INC.","8121 GEORGIA AVENUE, SUITE 350 Silver Spring, Maryland 20910 United States",Uncategorized,"DANCIL-JONES & ASSOCIATES, INC."
"DANDY CANDY, LLC","P.O. BOX 722428 Houston, Texas 77099 United States",Professional Services,Personalized Chocolates; Promotional Items; Corporate Gifts; Party Favors; Holiday Gifts; Candy; Wedding Favors/Gifts; Marketing Items; Edible Product
"DANIEL CONSTRUCTION AND DEVELOPMENT, INC.","6 LAURIANN COURT PARKTON, Maryland 21120 United States",Buliding & Construction,"DANIEL CONSTRUCTION AND DEVELOPMENT, INC."
DANIEL JACKSON CONSULTING,"16755 ELLA BLVD., #113 Houston, Texas 77090-4209 United States",Uncategorized,"Research, professional development and consulting."
DANIELS HARDWOOD FLOORING INC.,"1059 W. 62ND STREET Los Angeles, California 90044 United States",Uncategorized,FLOOR COVERING;
"DANISON, INC.","4724 GATEWAY TERRACE Baltimore, Maryland 21227 United States",Uncategorized,"DANISON, INC."
DANSVILLE HAULING CORPORATION,"14500 NEALE DRIVE Brandywine, Maryland 20613 United States",Transportation,DANSVILLE HAULING CORPORATION
Darius and Associates,"1001 Ellis Street Fayetteville, North Carolina 28305 United States",Uncategorized,Darius and Associates
Darker than Blue Cafe,"3034 Greenmount Avenue Baltimore, Maryland 21218 United States",Food & Dining,Darker Than Blue Cafe Located in Baltimore City Waverly Community only minutes from Johns Hopkins University. We feature a Southern and American Food.
"DARLINGTON ARCHITECTURAL REFINISHERS, INC.","17312 SUMMERWOOD LANE Accokeek, Maryland 20607 United States",Buliding & Construction,"DARLINGTON ARCHITECTURAL REFINISHERS, INC."
DARMAC BUILDERS INC,"1985 NW 70TH LANE Margate, Florida 33063- United States",Buliding & Construction,SHELL CONSTRUCTION CONSTRUCTION MANAGEMENT PROJECT MANAGEMENT
DARMAN BUILDING SUPPLY CORP,"630 MERRICK ROAD Lynbrook, New York 11563 United States",Buliding & Construction,DARMAN BUILDING SUPPLY CORP
DARNELL SHAW ENVIRONMENTAL LLC,"5610 SCOTTS VALLEY DRIVE NO. B534 Scotts Valley, California 95066 United States",Uncategorized,ENVIRONMENTAL QUALITY;
"DARREL J. SAIZAN & ASSOCIATES, INC.","2321 KILLDEER STREET New Orleans, Louisiana 70122 United States",Uncategorized,Management
DARRELL BLACKMAN CONCRETE INC,"1155 TURTLE CREEK DRIVE S Jacksonville, Florida 32218- United States",Buliding & Construction,CONCRETE WORK DIG FOOTING FORM SLABS TIE STEEL AND SIDEWALKS
DARREN K REAL ESTATE LLC,"92 RALPH AVENUE BROOKLYN, New York 11221 United States",Buliding & Construction,DARREN K REAL ESTATE LLC
"DASH HOME IMPROVEMENT SERVICES, LLC","17910 BARNEY DRIVE Accokeek, Maryland 20607 United States",Uncategorized,"DASH HOME IMPROVEMENT SERVICES, LLC"
DASH MEDIA LLC,"115 EAST 57TH STREET, SUITE 11TH FLOOR New York, New York 10022 United States",Business Services,DASH MEDIA LLC
"DATA BITS & BYTES CONSULTING, LLC","15021 NASHUA LANE Bowie, Maryland 20716 United States",Uncategorized,"DATA BITS & BYTES CONSULTING, LLC"
DATA COM COMMUNICATIONS,"532 SEGUIN STREET P.O. BOX 870074 New Orleans, Louisiana 70117 United States",Buliding & Construction,Supportive Services; System Design; Telecommunications; Computer System Architecture; Information Technology; Telephone Systems; Fiber Optics
DATA INDUSTRIES LIMITED,"1370 BROADWAY, 5TH FLOOR New York, New York 10018 United States",Business Services,DATA INDUSTRIES LIMITED
"DATA INTEGRATION CONSULTING, INC.","2259 VALLEY CREEK E. LANE Indianapolis, Indiana 46229 United States",Uncategorized,"DATA INTEGRATION CONSULTING, INC."
DATA MANAGEMENT GROUP OF VIRGINIA INC,"11820 FOUNTAIN WAY SUITE 502 Newport News, Virginia 23606 United States",Information Technology,BUSINESS INTELLIGENCE INFORMATION TECHNOLOGY CONSULTING DATA WAREHOUSING
DATA VOICE INC dba DVI,"1220 PROSPECT AVENUE SUITE 287 Melbourne, Florida 32901 United States",Business Services,IT CONSULTING SERVICES ELECTRO- MECHANICAL STAFFING SERVICES STAFF AUGMENTATION SERVICES AND FACILITIES SUPPORT
"Data-Doc., Inc.","2730 North Graham Charlotte, North Carolina 28206 United States",Uncategorized,"Data-Doc., Inc."
"DATANAMICS, INC.","6701 DEMOCRACY BOULEVARD, SUITE 300 Bethesda, Maryland 20817-7500 United States",Uncategorized,"DATANAMICS, INC."
"DATASORSCONSULTING, L.L.C.","4550 POST OAK PLACE DRIVE, SUITE 205 Houston, Texas 77027 United States",Information Technology,"Network Consulting Services, Information Technology, System Design & Implementation, Networking, Software Development"
DATAVISE INFORMATION TECHNOLOGY SERVICES,"PO BOX 1298 Burnet, Texas 78611-7298 United States",Information Technology,Technology
DATOK MANAGEMENT INC,"140-20 BASCOM AVENUE JAMAICA, New York 11436 United States",Buliding & Construction,DATOK MANAGEMENT INC
DATROSE INC,"660 BASKET ROAD Webster, New York 14580 United States",Business Services,DATROSE INC
DAUGHTERS OF RIZPAH JANITORIAL SERVICE,"11111 70 SAN JOSE BLVD SUITE 218 Jacksonville, Florida 32223- United States",Real Estate & Insurance ,JANITORIAL CLEANING RESIDENTIAL AND COMMERCIAL
"DAV-LEAR SYSTEMS, INC","556 N. DIAMOND BAR BLVD., #302 Diamond Bar, California 91765 United States",Information Technology,BUSINESS ADMINISTRATION; MANAGEMENT INFORMATION SYSTEMS; COMPUTER; COMPUTER & DATA PROCESSING SERVICES; COMPUTER PROGRAMMING;
DAVE CUNNINGHAM & ASSOCIATES,"4871 DOCKWEILLER ST. Los Angeles, California 90019 United States",Professional Services,"CONSULTANT, NON ENGINEERING; SERVICES, NEC (NOT ELSEWHERE CLASSIFIED);"
"Dave Scott & Associates, Inc.","9629 N. 21st Drive, Suite 1 Phoenix, Arizona 85021 United States",Uncategorized,"Supplier and broker of Office, Institutional and Commercial furniture, partitions and filing systems, (new, used and refurbished) interior and exterio"
"DAVEY, MACKISON & REID, LLC","12128 CYPRESS SPRING ROAD Clarksburg, Maryland 20871 United States",Uncategorized,"DAVEY, MACKISON & REID, LLC"
DAVID ANDREW BAINES SR,"243 MELBOURNE AVENUE Syracuse, New York 13224 United States",Business Services,DAVID ANDREW BAINES SR
DAVID ENGINEERING CONSTRUCTION,"6344 NUGGET DRIVE Foresthill, California 95631 United States",Buliding & Construction,CLEARING & GRUBBING; ROADWAY EXCAVATION; STRUCTURE EXCAVATION; STRUCTURE BACKFILL; DITCHES EXCAVATION; STEEL STRUCTURES; STEEL CRIB WALL; A General En
David Hinton Constrution Co. INC.,"11033 hwy 222 west p.o.box471 Middlesex, North Carolina 27557 United States",Uncategorized,David Hinton Constrution Co. INC.
DAVID MASON & ASSOCIATES OF TEXAS LLC,"8304 ESTERS BLVD SUITE 850 Irving, Texas 75063-2201 United States",Buliding & Construction,"Professional Engineering, Architectural, Land Surveying Services, Construction Management."
DAVIDSON SECURITY SERVICE,"6210 NOVATO DR. Houston, Texas 77053 United States",Professional Services,Armed & Unarmed Security Guard Service
"DAVILLIER LAW GROUP, L.L.C.","1010 COMMON STREET, SUITE 2510 New Orleans, Louisiana 70112 United States",Finance & Legal,Legal Services; Real Estate Evaluation and Consulting
DAVILLIER SLOAN,"1630 12TH STREET Oakland, California 94607 United States",Professional Services,"CONSULTANT, NON ENGINEERING;"
DAVINCI Interiors,"6613 Vosburgh Drive Raleigh, North Carolina 27617 United States",Uncategorized,DAVINCI Interiors
"DAVIS & ASSOCIATES COMMUNICATIONS, INC.","45 BELDEN PLACE 3RD FLOOR San Francisco, California 94104 United States",Professional Services,"CONSULTANT, NON ENGINEERING; COMMERCIAL ART AND GRAPHIC DESIGN; MANAGEMENT & PUBLIC RELATIONS;"
davis & associates construction,"265 nc hwy 43 265 nc hwy 43 Warrenton, North Carolina 27589 United States",Buliding & Construction,davis & associates construction
DAVIS & SONS CONSTRUCTION SERVICES LLC,"PO Box 750 Haines City, Florida 33845-0750 United States",Buliding & Construction,DRYWALL FRAMING CONSTRUCTION SERVICES CONTRACTOR
DAVIS APPAREL SHOP,"2413 MARTIN LUTHER KING JR. BLVD. Dallas, Texas 75215 United States",Uncategorized,"UNIFORMS-INDUSTRIAL,CORPORATE, TRANSIT"
"DAVIS BROTHERS CONCRETE, LLC","238 DYKES ROAD Salisbury, Maryland 21804 United States",Buliding & Construction,"DAVIS BROTHERS CONCRETE, LLC"
Davis Brothers Masonry LLC,"11468 Club Drive Chapel Hill, North Carolina 27517 United States",Uncategorized,Davis Brothers Masonry LLC
Davis Brothers Seven & Outer,"13110 W 7 Mile Road Detroit, Michigan 48235 United States",Automotive Services,"Davis Brothers Seven & Outer - Gas Station in Detroit, MI"
"DAVIS CONCRETE WORK, INC.","31099 EDEN ALLEN RD Eden, Maryland 21822 United States",Buliding & Construction,"DAVIS CONCRETE WORK, INC."
DAVIS CONSTRUCTION,"4557 N. SEQUOIA AVENUE Fresno, California 93705 United States",Buliding & Construction,"CONSULTANT, NON ENGINEERING; CONSTRUCTION MANAGEMENT; Construction Management - Commercial and Institutional Building Construction; Construction Manag"
"DAVIS DIVERSIFIED INTERESTS, INC.","3656 S. CATHAY CIRCLE, SUITE 100 Aurora, Colorado 80013 United States",Uncategorized,"DAVIS DIVERSIFIED INTERESTS, INC."
"DAVIS EXECUTIVE ASSOCIATES, INC.","613 SILVERSTONE COURT Silver Spring, Maryland 20905 United States",Uncategorized,"DAVIS EXECUTIVE ASSOCIATES, INC."
DAVIS FINANCIAL SOLUTIONS,"P. O. BOX 776 Clinton, Maryland 20735 United States",Finance,DAVIS FINANCIAL SOLUTIONS
"DAVIS HAULING, LLC","3935 WRIGHTS WHARF ROAD Hurlock, Maryland 21643 United States",Transportation,"DAVIS HAULING, LLC"
DAVIS JOHNCO,"7125 WAITE DR., STE. 6 La Mesa, California 91941 United States",Uncategorized,SHOE REPAIR & SHOESHINE PARLORS;
"DAVIS LIMOUSINE & SEDANS, LLC","1071 LOVING ROAD Severn, Maryland 21144 United States",Uncategorized,"DAVIS LIMOUSINE & SEDANS, LLC"
Davis Technical Staffing and Consulting,"2726 Croasdaile Drive, Suite 208 Durham, North Carolina 27705 United States",Business Services,Davis Technical Staffing and Consulting
"DAVIS, M. AND COMPANY, INC.","3000 MARKET STREET, SUITE 202 Philadelphia, Pennsylvania 19104 United States",Uncategorized,"DAVIS, M. AND COMPANY, INC."
"DAVIS, SHERMAN L.","10104 SENATE DRIVE, SUITE 210 LANHAM, Maryland 20706 United States",Uncategorized,"DAVIS, SHERMAN L."
"DAVIS, TRANEDA","4099 LOMAR DRIVE MT. AIRY, Maryland 21771 United States",Uncategorized,"DAVIS, TRANEDA"
"DAWG CONSTRUCTION, INC.","12444 VICTORY BLVD. NO. HOLLYWOOD, California 91606 United States",Buliding & Construction,BUILDING CONSTRUCTION; CARPENTRY; DRYWALL CONSTRUCTION; CONSTRUCTION & RELATED MACHINERY;
DAWN TRUCKING INC,"194-19 115TH AVENUE JAMAICA, New York 11412 United States",Business Services,DAWN TRUCKING INC
"DAWODU, DAVID ADEYEMO","6317 LANDOVER ROAD, APT. 201 Cheverly, Maryland 20785 United States",Uncategorized,"DAWODU, DAVID ADEYEMO"
"Day and Night Security, Inc.","82 Roanoke Street Providence, Rhode Island 02908 United States",Professional Services,unarmed security guard forces
DAY AND SONS INC.,"517 PUMPHREY LANE Glen Burnie, Maryland 21061 United States",Uncategorized,DAY AND SONS INC.
"DAY-EVERETTE, MICHELLE","1787 RICHFIELD DRIVE Severn, Maryland 21144 United States",Uncategorized,"DAY-EVERETTE, MICHELLE"
DAYBREAK DESIGN BUILD GROUP LLC,"8101 SW 72nd AVENUE SUITE 321 W Miami, Florida 33143-0000 United States",Buliding & Construction,GENERAL CONTRACTOR
"DayeCo Construction, LLC","4100 Five Oaks Drive #20 Durham, North Carolina 27707 United States",Buliding & Construction,"DayeCo Construction, LLC"
DAYLITE WINDOW REPAIR SERVICES INC,"63-53 ALDERTON STREET REGO PARK, New York 11374 United States",Buliding & Construction,DAYLITE WINDOW REPAIR SERVICES INC
DAYO P OLOWURO CPA PLLC,"387 EAST 157TH STREET SUITE 2 BRONX, New York 10451 United States",Business Services,DAYO P OLOWURO CPA PLLC
"DAYSTAR PROFESSIONAL SERVICES, L.L.C.","11207 ASHFORD PT Sugar Land, Texas 77478-6151 United States",Health,"Daystar LLC conducts business primarily as a Licensed, Certified, & Accredited home health agency,dba Daystar Home Health. The LLC is registered with"
DAZZIE MCKELVY LLC,"9009 NORTH PLZ #127 Austin, Texas 78753-4563 United States",Uncategorized,"Workforce development matters, nonprofit business solutions, program design/development/implementation, strategic planning, staff training and leaders"
Dazzle It Up Events,"PO Box 5432 WEST HILLS, California 91308 United States",Professional Services,Dazzle It Up Events is a professional event planning company specializing day of event coordination and full event planning and creation.
"DB MANAGEMENT & TECHNOLOGY, LLC","9230 TRADERS CROSSING, SUITE E Laurel, Maryland 20723 United States",Uncategorized,"DB MANAGEMENT & TECHNOLOGY, LLC"
DBA ENTERPRISE ROCK N ROLL,"2702 SANDWOOD STREET Lakewood, California 90712 United States",Transportation,TRUCKER;
DBB ARCHITECTURE PC,"75 SOUTH BROADWAY SUITE 400 White Plains, New York 10601 United States",Buliding & Construction,DBB ARCHITECTURE PC
DBE CONSULTING LLC,"3352 OAK DRIVE Conyers, Georgia 30013 United States",Professional Services,"CONSULTANT, NON ENGINEERING; MISC PERSONAL SERVICES;"
"DBE CONSULTING, LLC","3352 OAK DRIVE Conyers, Georgia 30013 United States",Professional Services,"CONSULTANT, NON ENGINEERING; MISC PERSONAL SERVICES;"
"dbISP, LLC","1300 N Pennsylvania Street Suite 201 Indianapolis, Indiana 46202 United States",Uncategorized,"dbISP, LLC"
DC LIMOUSINE SERVICE,"2407 RAMBLEWOOD DRIVE District Heights, Maryland 20747 United States",Uncategorized,DC LIMOUSINE SERVICE
"DC USA TECHNOLOGY, LLC","3421 14TH STREET, NW Washington, District of Columbia 20010 United States",Uncategorized,"DC USA TECHNOLOGY, LLC"
DCB LOGISTICS LLC,"1751 VZ COUNTY ROAD 1925 Edgewood, Texas 75117-5604 United States",Transportation,Freight transportation Arrangement of freight transportation
"DCD CONSTRUCTION, INC.","P O BOX 7136 D IBERVILLE, Mississippi 39540 United States",Buliding & Construction,Building Construction; Roofing; Sheet Metal; Stay in Place Metal Forms; Pressure Washing; Construction Layout Design; Drafting; Construction Inspectio
"DCG GENERAL CONSTRUCTION, HEATING & AIR","4614 MORNING GLORY TRAIL Bowie, Maryland 20720 United States",Buliding & Construction,"DCG GENERAL CONSTRUCTION, HEATING & AIR"
"DCI ARCHITECTS, LLC","P. O. BOX 2395 Germantown, Maryland 20875 United States",Buliding & Construction,"DCI ARCHITECTS, LLC"
DCN & ASSOCIATES,"14406 HARTSHILL DRIVE Houston, Texas 77044 United States",Information Technology,"Consulting services for Information Technology, internal audit, and business process improvement in te oil & gas, manufacturing, and insurance industr"
DCN CORPORATION,"2123 SEA ISLAND PLACE San Marcos, California 92078 United States",Buliding & Construction,ROADWAY EXCAVATION; CONCRETE STRUCTURE; MINOR CONCRETE STRUCTURE; CONCRETE SURFACE FINISH; CONCRETE CURB & SIDEWALK - MISC; HAZARDOUS WASTE C
DCN TRUCKING LLC,"4666 North 54th Street Milwaukee, Wisconsin 53218 United States",Transportation,Grading Trucking
DCS HEALTH CARE SERVICES LLC,"3853 WINTERGREEN DR. Plano, Texas 75074-8603 United States",Uncategorized,PATIENT CARE SUPPLIES
"DCS STAFFING AND CLEANING PROFESSIONALS, LLC","P. O. BOX 617 FOREST HILL, Maryland 21050 United States",Industrial Supplies & Services,"DCS STAFFING AND CLEANING PROFESSIONALS, LLC"
"DD & J, LLC","P.O. BOX 524 CLARKSVILLE, Maryland 21029 United States",Uncategorized,"DD & J, LLC"
DD & L TRUCKING,"35 PARK CIRCLE MARIN CITY, California 94965 United States",Transportation,BOTTOM DUMP TRUCKING; FLAT BED TRUCKING; TRUCK BROKER; TRUCKER;
DDRT APEX LLC,"98 ROCKWELL PLACE SUITE 5 BROOKLYN, New York 11217 United States",Business Services,DDRT APEX LLC
"DDS CONSTRUCTION, LLC","75 DOMINICAN DR., STE. 205 Laplace, Louisiana 70068 United States",Buliding & Construction,Building Construction
"DDS TRANSPORT, INC.","16510 VILLAGE DRIVE WEST Upper Marlboro, Maryland 20772 United States",Uncategorized,"DDS TRANSPORT, INC."
"DE BIBB TRUCKING, INC","1800-7TH STREET Richmond, California 94801 United States",Transportation,BOTTOM DUMP TRUCKING; TRANSFER DUMP TRUCK; SUPER 10 DUMP TRUCK; END DUMP TRUCK; STANDARD DUMP TRUCK; END DUMP TRUCK;
DE FOUR INC,"24718 OCONEE DRIVE Tomball, Texas 77375-5671 United States",Uncategorized,Installation of building automative system.
"DE SPACE DESIGNS, LLC","9252 THREE OAKS DRIVE Silver Spring, Maryland 20901 United States",Uncategorized,"DE SPACE DESIGNS, LLC"
"DEANDER ASSOCIATES, LLC","7233 HANOVER PARKWAY, SUITE D Greenbelt, Maryland 20770 United States",Uncategorized,"DEANDER ASSOCIATES, LLC"
DEANS ENVIRONMENTAL SERVICES,"6552 SHADY OAK DRIVE Jacksonville, Florida 32277 United States",Home Repair & Improvement,HERBICIDE CONTROL PEST CONTROL AND LANDSCAPING
DEANS-ARCHER & CO,"265 EAST MERRICK ROAD Valley Stream, New York 11580 United States",Business Services,DEANS-ARCHER & CO
"DEB ROMAIN CONSULTING, LLC","1 VAN DER DONCK STREET, SUITE 713E Yonkers, New York 10701 United States",Business Services,"DEB ROMAIN CONSULTING, LLC"
"DEBASS, LLC","PO BOX 116557 Carrollton, Texas 75011-1234 United States",Education,"Recycling pickup services for small and large corporations, government entities, schools, multi-family dwellings, etc."
DEBBIES HOUSECLEANING SERVICE,"2537 ACP BLVD @147TH STREET New York, New York 10039 United States",Business Services,DEBBIES HOUSECLEANING SERVICE
DEBBIES REINS & THINGS,"332 DOUGLASS STREET BROOKLYN, New York 11217 United States",Business Services,DEBBIES REINS & THINGS
DEBBRAM CONSULTING LLC,"255 HUGUENOT STREET #206 New Rochelle, New York 10801 United States",Buliding & Construction,DEBBRAM CONSULTING LLC
"DEBLANC, DEBLANC & ASSOCIATES","6033 W. CENTURY BLVD. #790 Los Angeles, California 90045 United States",Finance & Legal,LEGAL SERVICES;
DEBORAH DYSON ELECTRICAL CONTRACTOR,"6829 LANKERSHIM BLVD. #11C HOLLYWOOD, California 91605 United States",Buliding & Construction,ELECTRICAL; PETROLEUM & PETROLEUM PRODUCTS;
